EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,UG/KG,,UG/KG,,DEG C
  58GS20090528,   GIN,   212,  1,     10,2,20090531,1525, 68.7330,  13.1670, 2487,      5.4,   7.8250,  34.6498,2,-999.0000,9,   -999.0,9,     2.05,2,     4.84,2,     0.16,2,     0.39,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     1.92,2,     0.55,2,   7.8245
  58GS20090528,   GIN,   212,  1,     11,2,20090531,1525, 68.7330,  13.1670, 2487,      5.8,   7.8230,  34.6501,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.8224
  58GS20090528,   GIN,   213,  1,      1,2,20090531,1640, 68.7840,  12.9690, 2667,    172.8,   7.2750,  35.2052,2,  35.1990,2,    281.6,2,     4.48,2,    11.37,2,     0.04,2,     0.75,2,    4.451,2,    2.500,2, 2.63891864,2,   2145.3,2,   2314.7,3,  -999.00,9,  -999.00,9,   7.2584
  58GS20090528,   GIN,   213,  1,      2,2,20090531,1640, 68.7840,  12.9690, 2667,    150.5,   7.2880,  35.2019,2,  35.1940,2,    281.6,2,     4.46,2,    11.39,2,     0.04,2,     0.76,2, -999.000,9, -999.000,9,       -999,9,   2144.2,2,   2308.7,3,  -999.00,9,  -999.00,9,   7.2736
  58GS20090528,   GIN,   213,  1,      3,2,20090531,1640, 68.7840,  12.9690, 2667,    125.0,   7.3190,  35.1985,2,  35.1922,2,   -999.0,9,     4.27,2,    11.14,2,     0.07,2,     0.74,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.3070
  58GS20090528,   GIN,   213,  1,      4,2,20090531,1640, 68.7840,  12.9690, 2667,    101.5,   7.3280,  35.1877,2,  35.1826,2,    281.8,2,     4.24,2,    10.98,2,     0.10,2,     0.73,2,    4.372,2,    2.453,2,  2.4297839,2,   2143.0,2,   2307.9,3,     0.04,2,     0.20,2,   7.3183
  58GS20090528,   GIN,   213,  1,      5,2,20090531,1640, 68.7840,  12.9690, 2667,     74.8,   7.3150,  35.1812,2,  35.1748,2,   -999.0,9,     4.26,2,    10.97,2,     0.10,2,     0.77,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     0.04,2,     0.20,2,   7.3078
  58GS20090528,   GIN,   213,  1,      6,2,20090531,1640, 68.7840,  12.9690, 2667,     50.8,   7.3000,  35.1738,2,  35.1682,2,    281.6,2,     4.20,2,    10.83,2,     0.12,2,     0.72,2, -999.000,9, -999.000,9,       -999,9,   2142.3,2,   2298.7,3,     0.04,2,     0.19,2,   7.2952
  58GS20090528,   GIN,   213,  1,      7,2,20090531,1640, 68.7840,  12.9690, 2667,     31.0,   7.9190,  35.2201,2,  35.2008,2,   -999.0,9,     3.65,2,     9.35,2,     0.20,2,     0.67,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     0.22,2,     0.20,2,   7.9159
  58GS20090528,   GIN,   213,  1,      8,2,20090531,1640, 68.7840,  12.9690, 2667,     31.7,   7.9210,  35.2210,2,  35.1953,2,    285.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    4.446,2,    2.465,2, 2.52057207,2,   2133.9,2,   2319.5,2,  -999.00,9,  -999.00,9,   7.9178
